time,temperature,humidity,load
2011-01-01 01:00:00,-3.5,86.0,9631.0
2011-01-01 02:00:00,-5.4,84.0,9273.0
2011-01-01 03:00:00,-5.7,75.9,9011.0
2011-01-01 04:00:00,-5.7,88.0,8741.0
2011-01-01 05:00:00,-0.3,75.3,8694.0
2011-01-01 06:00:00,-2.7,89.5,8711.0
2011-01-01 07:00:00,-6.4,77.7,8943.0
2011-01-01 08:00:00,-3.4,77.8,9222.0
2011-01-01 09:00:00,-4.3,81.5,9430.0
2011-01-01 10:00:00,-10.7,79.4,9670.0
2011-01-01 11:00:00,-8.0,79.4,10125.0
2011-01-01 12:00:00,-4.1,80.5,10538.0
2011-01-01 13:00:00,-0.6,78.0,10782.0
2011-01-01 14:00:00,-5.7,82.7,10861.0
2011-01-01 15:00:00,-6.6,84.1,10784.0
2011-01-01 16:00:00,-4.7,77.6,10928.0
2011-01-01 17:00:00,-6.8,85.3,11133.0
2011-01-01 18:00:00,-5.9,81.6,11924.0
2011-01-01 19:00:00,-5.0,75.5,12665.0
2011-01-01 20:00:00,-8.2,88.6,12701.0
2011-01-01 21:00:00,-2.5,79.7,12630.0
2011-01-01 22:00:00,-8.7,82.8,12513.0
2011-01-01 23:00:00,-9.0,89.5,12252.0
2011-01-02 00:00:00,-4.4,86.6,11778.0
2011-01-02 01:00:00,-2.8,76.3,11199.0
2011-01-02 02:00:00,-4.5,77.9,10682.0
2011-01-02 03:00:00,-5.3,80.8,10376.0
2011-01-02 04:00:00,-5.9,79.1,10247.0
2011-01-02 05:00:00,-6.4,79.2,10161.0
2011-01-02 06:00:00,-1.8,83.1,10220.0
2011-01-02 07:00:00,-4.0,76.1,10346.0
2011-01-02 08:00:00,-6.2,89.8,10651.0
2011-01-02 09:00:00,-7.0,75.1,10710.0
2011-01-02 10:00:00,-3.2,87.2,10834.0
2011-01-02 11:00:00,-1.9,86.6,10945.0
2011-01-02 12:00:00,-2.2,76.1,11078.0
2011-01-02 13:00:00,-7.5,87.9,11127.0
2011-01-02 14:00:00,-5.9,84.3,11141.0
2011-01-02 15:00:00,-6.4,79.7,11057.0
2011-01-02 16:00:00,-5.6,79.9,10973.0
2011-01-02 17:00:00,-2.6,88.3,11074.0
2011-01-02 18:00:00,-0.9,82.1,11929.0
2011-01-02 19:00:00,-3.9,86.4,12841.0
2011-01-02 20:00:00,-6.9,83.4,12956.0
2011-01-02 21:00:00,-5.1,82.8,12849.0
2011-01-02 22:00:00,-0.3,81.4,12689.0
2011-01-02 23:00:00,-4.7,79.7,12274.0
2011-01-03 00:00:00,-5.9,82.6,11662.0
2011-01-03 01:00:00,-5.7,81.2,10897.0
2011-01-03 02:00:00,-3.9,86.3,10494.0
2011-01-03 03:00:00,-7.4,88.9,10279.0
2011-01-03 04:00:00,-6.5,87.1,10165.0
2011-01-03 05:00:00,-2.3,87.1,10199.0
2011-01-03 06:00:00,-4.0,77.8,10440.0
2011-01-03 07:00:00,-4.7,87.1,11096.0
2011-01-03 08:00:00,-2.1,88.4,12125.0
2011-01-03 09:00:00,-7.1,78.4,12687.0
2011-01-03 10:00:00,-6.0,81.4,12682.0
2011-01-03 11:00:00,-4.1,75.1,12707.0
2011-01-03 12:00:00,-4.2,82.7,12662.0
2011-01-03 13:00:00,-9.2,76.8,12573.0
2011-01-03 14:00:00,-6.3,80.1,12514.0
2011-01-03 15:00:00,-5.5,82.8,12463.0
2011-01-03 16:00:00,-3.8,85.5,12500.0
2011-01-03 17:00:00,-4.2,89.4,12594.0
2011-01-03 18:00:00,-5.2,78.8,13206.0
2011-01-03 19:00:00,-10.8,79.3,13873.0
2011-01-03 20:00:00,-5.1,75.6,13712.0
2011-01-03 21:00:00,-4.8,75.8,13505.0
2011-01-03 22:00:00,2.4,79.2,13175.0
2011-01-03 23:00:00,-5.6,77.2,12613.0
2011-01-04 00:00:00,-4.1,82.3,11763.0
2011-01-04 01:00:00,-1.6,78.6,10941.0
2011-01-04 02:00:00,-2.7,85.9,10426.0
2011-01-04 03:00:00,-0.8,84.5,10171.0
2011-01-04 04:00:00,-9.2,83.0,10044.0
2011-01-04 05:00:00,-8.0,75.6,10065.0
2011-01-04 06:00:00,-6.7,83.9,10370.0
2011-01-04 07:00:00,-9.7,84.7,11063.0
2011-01-04 08:00:00,-4.8,77.6,12341.0
2011-01-04 09:00:00,-7.8,89.1,13040.0
2011-01-04 10:00:00,-0.4,77.1,13114.0
2011-01-04 11:00:00,-7.3,88.9,13194.0
2011-01-04 12:00:00,-6.0,88.2,13257.0
2011-01-04 13:00:00,-2.6,87.3,13223.0
2011-01-04 14:00:00,-8.7,83.3,13173.0
2011-01-04 15:00:00,-9.8,76.4,13144.0
2011-01-04 16:00:00,-4.4,88.5,13049.0
2011-01-04 17:00:00,-4.2,80.1,13070.0
2011-01-04 18:00:00,-2.7,80.2,13705.0
2011-01-04 19:00:00,-3.4,88.3,14527.0
2011-01-04 20:00:00,-4.1,86.7,14466.0
2011-01-04 21:00:00,-7.0,77.4,14312.0
2011-01-04 22:00:00,-4.3,88.5,14038.0
2011-01-04 23:00:00,-4.1,75.1,13498.0
2011-01-05 00:00:00,-7.1,77.4,12600.0
2011-01-05 01:00:00,0.6,84.8,11829.0
2011-01-05 02:00:00,-3.6,78.4,11324.0
2011-01-05 03:00:00,-7.9,79.9,11062.0
2011-01-05 04:00:00,-2.6,86.2,10908.0
2011-01-05 05:00:00,-2.1,84.9,10930.0
2011-01-05 06:00:00,-3.8,83.5,11194.0
2011-01-05 07:00:00,-5.7,79.0,11868.0
2011-01-05 08:00:00,-7.3,78.7,13012.0
2011-01-05 09:00:00,-5.2,88.4,13580.0
2011-01-05 10:00:00,-4.0,84.5,13579.0
2011-01-05 11:00:00,-5.0,83.7,13561.0
2011-01-05 12:00:00,-0.6,82.4,13584.0
2011-01-05 13:00:00,-3.1,79.2,13530.0
2011-01-05 14:00:00,-7.6,75.4,13442.0
2011-01-05 15:00:00,-8.2,89.1,13374.0
2011-01-05 16:00:00,-3.6,89.3,13244.0
2011-01-05 17:00:00,-5.7,75.2,13265.0
2011-01-05 18:00:00,-2.9,88.9,13826.0
2011-01-05 19:00:00,-3.6,89.5,14335.0
2011-01-05 20:00:00,-5.2,87.8,14122.0
2011-01-05 21:00:00,-7.5,87.8,13861.0
2011-01-05 22:00:00,-9.5,79.8,13526.0
2011-01-05 23:00:00,-4.4,89.0,12968.0
2011-01-06 00:00:00,-8.7,85.4,12062.0
2011-01-06 01:00:00,-7.7,84.2,11268.0
2011-01-06 02:00:00,-4.5,89.9,10736.0
2011-01-06 03:00:00,-4.8,88.2,10418.0
2011-01-06 04:00:00,-8.4,86.1,10252.0
2011-01-06 05:00:00,-1.8,80.4,10254.0
2011-01-06 06:00:00,-1.8,79.4,10522.0
2011-01-06 07:00:00,-3.5,88.0,11221.0
2011-01-06 08:00:00,-3.5,88.7,12410.0
2011-01-06 09:00:00,-3.5,87.0,13236.0
2011-01-06 10:00:00,6.6,84.7,13349.0
2011-01-06 11:00:00,-2.1,88.4,13440.0
2011-01-06 12:00:00,-3.0,80.1,13426.0
2011-01-06 13:00:00,-7.3,83.7,13377.0
2011-01-06 14:00:00,-5.7,75.5,13247.0
2011-01-06 15:00:00,1.9,79.3,13112.0
2011-01-06 16:00:00,-10.6,83.9,12965.0
2011-01-06 17:00:00,-6.4,76.9,12993.0
2011-01-06 18:00:00,-1.7,82.8,13607.0
2011-01-06 19:00:00,-7.1,84.3,14420.0
2011-01-06 20:00:00,-3.0,76.3,14296.0
